Iteration	LogLikelihood	MoveType
238	-4401.5081	Reject
239	-4401.4533	Swapped from Chain 1
239	-4401.4533	Reject
240	-4401.4533	Reject
241	-4402.5773	Swapped from Chain 1
241	-4402.5773	Reject
242	-4402.5773	Reject
243	-4401.4463	Swapped from Chain 1
243	-4401.4463	Reject
244	-4401.4463	Reject
245	-4401.7233	Swapped from Chain 1
245	-4401.7233	Reject
246	-4401.7233	Reject
247	-4401.7222	Swapped from Chain 1
247	-4401.7222	Reject
248	-4401.7222	Reject
249	-4402.5500	Swapped from Chain 1
249	-4402.5500	Reject
250	-4402.5500	Reject
251	-4401.5432	Swapped from Chain 1
251	-4401.5432	Reject
252	-4401.5432	Reject
253	-4401.5759	Swapped from Chain 1
253	-4401.5759	Reject
254	-4401.5759	Reject
255	-4401.6270	Swapped from Chain 1
255	-4401.6270	Reject
256	-4401.6270	Reject
257	-4401.4501	Swapped from Chain 1
257	-4401.4501	Reject
258	-4401.4501	Reject
259	-4401.4581	Swapped from Chain 1
259	-4401.4581	Reject
260	-4401.4581	Reject
261	-4402.7609	Swapped from Chain 1
261	-4402.7609	Reject
262	-4402.7609	Reject
263	-4401.5098	Swapped from Chain 1
263	-4401.5098	Reject
264	-4401.5098	Reject
265	-4401.5432	Swapped from Chain 1
265	-4401.5432	Reject
266	-4401.5432	Reject
267	-4402.5500	Swapped from Chain 1
267	-4402.5500	Reject
268	-4402.5500	Reject
269	-4402.7495	Swapped from Chain 1
269	-4402.7495	Reject
270	-4402.7495	Reject
271	-4401.4463	Swapped from Chain 1
271	-4401.4463	Reject
272	-4401.4463	Reject
273	-4401.5081	Swapped from Chain 1
273	-4401.5081	Reject
274	-4401.5081	Reject
275	-4401.6461	Swapped from Chain 1
275	-4401.6461	Reject
276	-4401.6461	Reject
277	-4401.7233	Swapped from Chain 1
277	-4401.7233	Reject
278	-4401.7233	Reject
279	-4402.7286	Swapped from Chain 1
279	-4402.7286	Reject
280	-4402.7286	Reject
281	-4401.4508	Swapped from Chain 1
281	-4401.4508	Reject
282	-4401.4508	Reject
283	-4402.5773	Swapped from Chain 1
283	-4402.5773	Reject
284	-4402.5773	Reject
285	-4401.5759	Swapped from Chain 1
285	-4401.5759	Reject
286	-4401.5759	Reject
287	-4402.7665	Swapped from Chain 1
287	-4402.7665	Reject
288	-4402.7665	Reject
289	-4401.4501	Swapped from Chain 1
289	-4401.4501	Reject
290	-4401.4501	Reject
291	-4401.6270	Swapped from Chain 1
291	-4401.6270	Reject
292	-4401.6270	Reject
293	-4401.5432	Swapped from Chain 1
293	-4401.5432	Reject
294	-4401.5432	Reject
295	-4401.4581	Swapped from Chain 1
295	-4401.4581	Reject
296	-4401.4581	Reject
297	-4402.5430	Swapped from Chain 1
297	-4402.5430	Reject
298	-4402.5430	Reject
299	-4402.7609	Swapped from Chain 1
299	-4402.7609	Reject
300	-4402.7609	Reject
301	-4401.5098	Swapped from Chain 1
301	-4401.5098	Reject
302	-4401.5098	Reject
303	-4401.5081	Swapped from Chain 1
303	-4401.5081	Reject
304	-4401.5081	Reject
305	-4401.5704	Swapped from Chain 1
305	-4401.5704	Reject
306	-4401.5704	Reject
307	-4401.4463	Swapped from Chain 1
307	-4401.4463	Reject
308	-4401.4463	Reject
309	-4401.5120	Swapped from Chain 1
309	-4401.5120	Reject
310	-4401.5120	Reject
311	-4401.4501	Swapped from Chain 1
311	-4401.4501	Reject
312	-4401.4501	Reject
313	-4401.7233	Swapped from Chain 1
313	-4401.7233	Reject
314	-4401.7233	Reject
315	-4402.7286	Swapped from Chain 1
315	-4402.7286	Reject
316	-4402.7286	Reject
317	-4401.4560	Swapped from Chain 1
317	-4401.4560	Reject
318	-4401.4560	Reject
319	-4401.4508	Swapped from Chain 1
319	-4401.4508	Reject
320	-4401.4508	Reject
321	-4402.5773	Swapped from Chain 1
321	-4402.5773	Reject
322	-4402.5773	Reject
323	-4401.5759	Swapped from Chain 1
323	-4401.5759	Reject
324	-4401.5759	Reject
325	-4401.4813	Swapped from Chain 1
325	-4401.4813	Reject
326	-4401.4813	Reject
327	-4401.4501	Swapped from Chain 1
327	-4401.4501	Reject
328	-4401.4501	Reject
329	-4401.4508	Swapped from Chain 1
329	-4401.4508	Reject
330	-4401.4508	Reject
331	-4401.4485	Swapped from Chain 1
331	-4401.4485	Reject
332	-4401.4485	Reject
333	-4401.4581	Swapped from Chain 1
333	-4401.4581	Reject
334	-4401.4581	Reject
335	-4402.7609	Swapped from Chain 1
335	-4402.7609	Reject
336	-4402.7609	Reject
337	-4401.5098	Swapped from Chain 1
337	-4401.5098	Reject
338	-4401.5098	Reject
339	-4401.5081	Swapped from Chain 1
339	-4401.5081	Reject
340	-4401.5081	Reject
341	-4401.4960	Swapped from Chain 1
341	-4401.4960	Reject
342	-4401.4960	Reject
343	-4401.5704	Swapped from Chain 1
343	-4401.5704	Reject
344	-4401.5704	Reject
345	-4401.4463	Swapped from Chain 1
345	-4401.4463	Reject
346	-4401.4463	Reject
347	-4401.5120	Swapped from Chain 1
347	-4401.5120	Reject
348	-4401.5120	Reject
349	-4401.4560	Swapped from Chain 1
349	-4401.4560	Reject
350	-4401.4560	Reject
351	-4401.4508	Swapped from Chain 1
351	-4401.4508	Reject
352	-4401.4508	Reject
353	-4401.4813	Swapped from Chain 1
353	-4401.4813	Reject
354	-4401.4813	Reject
355	-4401.5757	Swapped from Chain 1
355	-4401.5757	Reject
356	-4401.5757	Reject
357	-4401.5759	Swapped from Chain 1
357	-4401.5759	Reject
358	-4401.5759	Reject
359	-4402.5773	Swapped from Chain 1
359	-4402.5773	Reject
360	-4402.5773	Reject
361	-4402.7286	Swapped from Chain 1
361	-4402.7286	Reject
362	-4402.7286	Reject
363	-4401.4501	Swapped from Chain 1
363	-4401.4501	Reject
364	-4401.4501	Reject
365	-4401.4560	Swapped from Chain 1
365	-4401.4560	Reject
366	-4401.4560	Reject
367	-4401.4485	Swapped from Chain 1
367	-4401.4485	Reject
368	-4401.4485	Reject
